"NMDS1"	"NMDS2"	"site"	"Serotype"	"Source"	"Geo"
"HUM_NEWP_NY_08_R8_2926"	-0.0386648645004238	-0.0384850080703874	"HUM_NEWP_NY_08_R8_2926"	"Newport"	"Human"	"NY"
"BOV_NEWP_NY_09_R8_4007"	-0.071273496642034	-0.0311662155646184	"BOV_NEWP_NY_09_R8_4007"	"Newport"	"Bovine"	"NY"
"BOV_TYPH_NY_12_R8_9832"	0.277307330114542	-0.186473730709439	"BOV_TYPH_NY_12_R8_9832"	"Typhimurium"	"Bovine"	"NY"
"BOV_NEWP_NY_11_R8_8188"	-0.0386648645004238	-0.0384850080703874	"BOV_NEWP_NY_11_R8_8188"	"Newport"	"Bovine"	"NY"
"HUM_DUBN_NY_10_R8_4810"	-0.0262382815812194	-0.0282312635882621	"HUM_DUBN_NY_10_R8_4810"	"Dublin"	"Human"	"NY"
"HUM_DUBN_NY_08_R8_3358"	-0.0344564535614671	-0.0199407726131569	"HUM_DUBN_NY_08_R8_3358"	"Dublin"	"Human"	"NY"
"HUM_NEWP_NY_11_R8_8684"	-0.0386648645004238	-0.0384850080703874	"HUM_NEWP_NY_11_R8_8684"	"Newport"	"Human"	"NY"
"BOV_TYPH_WA_10_R9_3249"	0.0405547548248678	0.20167820214411	"BOV_TYPH_WA_10_R9_3249"	"Typhimurium"	"Bovine"	"WA"
"BOV_DUBN_WA_11_R9_3250"	-0.0252147036560347	-0.0721940166098373	"BOV_DUBN_WA_11_R9_3250"	"Dublin"	"Bovine"	"WA"
"BOV_DUBN_WA_10_R9_3233"	-0.0890678622645451	-0.0648568554883274	"BOV_DUBN_WA_10_R9_3233"	"Dublin"	"Bovine"	"WA"
"BOV_DUBN_WA_10_R9_3234"	-0.0333497273948444	-0.0399209749728416	"BOV_DUBN_WA_10_R9_3234"	"Dublin"	"Bovine"	"WA"
"HUM_NEWP_NY_08_R8_1598"	-0.0386648645004238	-0.0384850080703874	"HUM_NEWP_NY_08_R8_1598"	"Newport"	"Human"	"NY"
"HUM_NEWP_WA_08_R9_3259"	-0.0386648645004238	-0.0384850080703874	"HUM_NEWP_WA_08_R9_3259"	"Newport"	"Human"	"WA"
